u_vertex,v_vertex,u_slot,u_local,v_slot,v_local,kind
319,649,5,19,10,49,external_signed_carrier
319,889,5,19,14,49,external_signed_carrier
320,334,5,20,5,34,internal_thalion_copy
320,650,5,20,10,50,external_signed_carrier
320,890,5,20,14,50,external_signed_carrier
321,327,5,21,5,27,internal_thalion_copy
321,330,5,21,5,30,internal_thalion_copy
321,333,5,21,5,33,internal_thalion_copy
321,651,5,21,10,51,external_signed_carrier
321,891,5,21,14,51,external_signed_carrier
322,326,5,22,5,26,internal_thalion_copy
322,328,5,22,5,28,internal_thalion_copy
322,334,5,22,5,34,internal_thalion_copy
322,652,5,22,10,52,external_signed_carrier
322,892,5,22,14,52,external_signed_carrier
323,327,5,23,5,27,internal_thalion_copy
323,653,5,23,10,53,external_signed_carrier
323,893,5,23,14,53,external_signed_carrier
324,654,5,24,10,54,external_signed_carrier
324,894,5,24,14,54,external_signed_carrier
325,336,5,25,5,36,internal_thalion_copy
325,655,5,25,10,55,external_signed_carrier
325,895,5,25,14,55,external_signed_carrier
326,656,5,26,10,56,external_signed_carrier
326,896,5,26,14,56,external_signed_carrier
327,333,5,27,5,33,internal_thalion_copy
327,657,5,27,10,57,external_signed_carrier
327,897,5,27,14,57,external_signed_carrier
328,332,5,28,5,32,internal_thalion_copy
328,334,5,28,5,34,internal_thalion_copy
328,336,5,28,5,36,internal_thalion_copy
328,658,5,28,10,58,external_signed_carrier
328,898,5,28,14,58,external_signed_carrier
329,333,5,29,5,33,internal_thalion_copy
329,335,5,29,5,35,internal_thalion_copy
329,337,5,29,5,37,internal_thalion_copy
329,659,5,29,10,59,external_signed_carrier
329,899,5,29,14,59,external_signed_carrier
330,344,5,30,5,44,internal_thalion_copy
330,600,5,30,10,0,external_signed_carrier
330,840,5,30,14,0,external_signed_carrier
331,337,5,31,5,37,internal_thalion_copy
331,340,5,31,5,40,internal_thalion_copy
331,343,5,31,5,43,internal_thalion_copy
331,601,5,31,10,1,external_signed_carrier
331,841,5,31,14,1,external_signed_carrier
332,336,5,32,5,36,internal_thalion_copy
332,338,5,32,5,38,internal_thalion_copy
332,344,5,32,5,44,internal_thalion_copy
332,602,5,32,10,2,external_signed_carrier
332,842,5,32,14,2,external_signed_carrier
333,337,5,33,5,37,internal_thalion_copy
333,603,5,33,10,3,external_signed_carrier
333,843,5,33,14,3,external_signed_carrier
334,604,5,34,10,4,external_signed_carrier
334,844,5,34,14,4,external_signed_carrier
335,346,5,35,5,46,internal_thalion_copy
335,605,5,35,10,5,external_signed_carrier
335,845,5,35,14,5,external_signed_carrier
336,606,5,36,10,6,external_signed_carrier
336,846,5,36,14,6,external_signed_carrier
337,343,5,37,5,43,internal_thalion_copy
337,607,5,37,10,7,external_signed_carrier
337,847,5,37,14,7,external_signed_carrier
338,342,5,38,5,42,internal_thalion_copy
338,344,5,38,5,44,internal_thalion_copy
338,346,5,38,5,46,internal_thalion_copy
338,608,5,38,10,8,external_signed_carrier
338,848,5,38,14,8,external_signed_carrier
339,343,5,39,5,43,internal_thalion_copy
339,345,5,39,5,45,internal_thalion_copy
339,347,5,39,5,47,internal_thalion_copy
339,609,5,39,10,9,external_signed_carrier
339,849,5,39,14,9,external_signed_carrier
340,354,5,40,5,54,internal_thalion_copy
340,610,5,40,10,10,external_signed_carrier
340,850,5,40,14,10,external_signed_carrier
341,347,5,41,5,47,internal_thalion_copy
341,350,5,41,5,50,internal_thalion_copy
341,353,5,41,5,53,internal_thalion_copy
341,611,5,41,10,11,external_signed_carrier
341,851,5,41,14,11,external_signed_carrier
342,346,5,42,5,46,internal_thalion_copy
342,348,5,42,5,48,internal_thalion_copy
342,354,5,42,5,54,internal_thalion_copy
342,612,5,42,10,12,external_signed_carrier
342,852,5,42,14,12,external_signed_carrier
343,347,5,43,5,47,internal_thalion_copy
343,613,5,43,10,13,external_signed_carrier
343,853,5,43,14,13,external_signed_carrier
344,614,5,44,10,14,external_signed_carrier
344,854,5,44,14,14,external_signed_carrier
345,356,5,45,5,56,internal_thalion_copy
345,615,5,45,10,15,external_signed_carrier
345,855,5,45,14,15,external_signed_carrier
346,616,5,46,10,16,external_signed_carrier
346,856,5,46,14,16,external_signed_carrier
347,353,5,47,5,53,internal_thalion_copy
347,617,5,47,10,17,external_signed_carrier
347,857,5,47,14,17,external_signed_carrier
348,352,5,48,5,52,internal_thalion_copy
348,354,5,48,5,54,internal_thalion_copy
348,356,5,48,5,56,internal_thalion_copy
348,618,5,48,10,18,external_signed_carrier
348,858,5,48,14,18,external_signed_carrier
349,353,5,49,5,53,internal_thalion_copy
349,355,5,49,5,55,internal_thalion_copy
349,357,5,49,5,57,internal_thalion_copy
349,619,5,49,10,19,external_signed_carrier
349,859,5,49,14,19,external_signed_carrier
350,620,5,50,10,20,external_signed_carrier
350,860,5,50,14,20,external_signed_carrier
351,357,5,51,5,57,internal_thalion_copy
351,621,5,51,10,21,external_signed_carrier
351,861,5,51,14,21,external_signed_carrier
352,356,5,52,5,56,internal_thalion_copy
352,358,5,52,5,58,internal_thalion_copy
352,622,5,52,10,22,external_signed_carrier
352,862,5,52,14,22,external_signed_carrier
353,357,5,53,5,57,internal_thalion_copy
353,623,5,53,10,23,external_signed_carrier
353,863,5,53,14,23,external_signed_carrier
354,624,5,54,10,24,external_signed_carrier
354,864,5,54,14,24,external_signed_carrier
355,625,5,55,10,25,external_signed_carrier
355,865,5,55,14,25,external_signed_carrier
356,626,5,56,10,26,external_signed_carrier
356,866,5,56,14,26,external_signed_carrier
357,627,5,57,10,27,external_signed_carrier
357,867,5,57,14,27,external_signed_carrier
358,628,5,58,10,28,external_signed_carrier
358,868,5,58,14,28,external_signed_carrier
359,629,5,59,10,29,external_signed_carrier
359,869,5,59,14,29,external_signed_carrier
360,376,6,0,6,16,internal_thalion_copy
360,379,6,0,6,19,internal_thalion_copy
360,385,6,0,6,25,internal_thalion_copy
360,415,6,0,6,55,internal_thalion_copy
360,720,6,0,12,0,external_signed_carrier
360,780,6,0,13,0,external_signed_carrier
361,375,6,1,6,15,internal_thalion_copy
361,386,6,1,6,26,internal_thalion_copy
361,389,6,1,6,29,internal_thalion_copy
361,395,6,1,6,35,internal_thalion_copy
361,721,6,1,12,1,external_signed_carrier
361,781,6,1,13,1,external_signed_carrier
362,385,6,2,6,25,internal_thalion_copy
362,396,6,2,6,36,internal_thalion_copy
362,399,6,2,6,39,internal_thalion_copy
362,405,6,2,6,45,internal_thalion_copy
362,722,6,2,12,2,external_signed_carrier
362,782,6,2,13,2,external_signed_carrier
363,395,6,3,6,35,internal_thalion_copy
363,406,6,3,6,46,internal_thalion_copy
363,409,6,3,6,49,internal_thalion_copy
363,415,6,3,6,55,internal_thalion_copy
363,723,6,3,12,3,external_signed_carrier
363,783,6,3,13,3,external_signed_carrier
364,375,6,4,6,15,internal_thalion_copy
364,405,6,4,6,45,internal_thalion_copy
364,416,6,4,6,56,internal_thalion_copy
364,419,6,4,6,59,internal_thalion_copy
364,724,6,4,12,4,external_signed_carrier
364,784,6,4,13,4,external_signed_carrier
365,371,6,5,6,11,internal_thalion_copy
365,374,6,5,6,14,internal_thalion_copy
365,380,6,5,6,20,internal_thalion_copy
365,410,6,5,6,50,internal_thalion_copy
365,725,6,5,12,5,external_signed_carrier
365,785,6,5,13,5,external_signed_carrier
366,370,6,6,6,10,internal_thalion_copy
366,381,6,6,6,21,internal_thalion_copy
366,384,6,6,6,24,internal_thalion_copy
366,390,6,6,6,30,internal_thalion_copy
366,726,6,6,12,6,external_signed_carrier
366,786,6,6,13,6,external_signed_carrier
367,380,6,7,6,20,internal_thalion_copy
367,391,6,7,6,31,internal_thalion_copy
367,394,6,7,6,34,internal_thalion_copy
367,400,6,7,6,40,internal_thalion_copy
367,727,6,7,12,7,external_signed_carrier
367,787,6,7,13,7,external_signed_carrier
368,390,6,8,6,30,internal_thalion_copy
368,401,6,8,6,41,internal_thalion_copy
368,404,6,8,6,44,internal_thalion_copy
368,410,6,8,6,50,internal_thalion_copy
368,728,6,8,12,8,external_signed_carrier
368,788,6,8,13,8,external_signed_carrier
369,370,6,9,6,10,internal_thalion_copy
369,400,6,9,6,40,internal_thalion_copy
369,411,6,9,6,51,internal_thalion_copy
369,414,6,9,6,54,internal_thalion_copy
369,729,6,9,12,9,external_signed_carrier
369,789,6,9,13,9,external_signed_carrier
370,384,6,10,6,24,internal_thalion_copy
370,411,6,10,6,51,internal_thalion_copy
370,730,6,10,12,10,external_signed_carrier
370,790,6,10,13,10,external_signed_carrier
371,377,6,11,6,17,internal_thalion_copy
371,380,6,11,6,20,internal_thalion_copy
371,383,6,11,6,23,internal_thalion_copy
371,731,6,11,12,11,external_signed_carrier
371,791,6,11,13,11,external_signed_carrier
372,376,6,12,6,16,internal_thalion_copy
372,378,6,12,6,18,internal_thalion_copy
372,384,6,12,6,24,internal_thalion_copy
372,418,6,12,6,58,internal_thalion_copy
372,732,6,12,12,12,external_signed_carrier
372,792,6,12,13,12,external_signed_carrier
373,377,6,13,6,17,internal_thalion_copy
373,411,6,13,6,51,internal_thalion_copy
373,417,6,13,6,57,internal_thalion_copy
373,419,6,13,6,59,internal_thalion_copy
373,733,6,13,12,13,external_signed_carrier
373,793,6,13,13,13,external_signed_carrier
374,410,6,14,6,50,internal_thalion_copy
374,412,6,14,6,52,internal_thalion_copy
374,418,6,14,6,58,internal_thalion_copy
374,734,6,14,12,14,external_signed_carrier
374,794,6,14,13,14,external_signed_carrier
375,386,6,15,6,26,internal_thalion_copy
375,419,6,15,6,59,internal_thalion_copy
375,735,6,15,12,15,external_signed_carrier
375,795,6,15,13,15,external_signed_carrier
376,415,6,16,6,55,internal_thalion_copy
376,418,6,16,6,58,internal_thalion_copy
376,736,6,16,12,16,external_signed_carrier
376,796,6,16,13,16,external_signed_carrier
377,383,6,17,6,23,internal_thalion_copy
377,419,6,17,6,59,internal_thalion_copy
377,737,6,17,12,17,external_signed_carrier
377,797,6,17,13,17,external_signed_carrier
378,382,6,18,6,22,internal_thalion_copy
378,384,6,18,6,24,internal_thalion_copy
378,386,6,18,6,26,internal_thalion_copy
378,738,6,18,12,18,external_signed_carrier
378,798,6,18,13,18,external_signed_carrier
379,383,6,19,6,23,internal_thalion_copy
379,385,6,19,6,25,internal_thalion_copy
379,387,6,19,6,27,internal_thalion_copy
379,739,6,19,12,19,external_signed_carrier
379,799,6,19,13,19,external_signed_carrier
380,394,6,20,6,34,internal_thalion_copy
380,740,6,20,12,20,external_signed_carrier
380,800,6,20,13,20,external_signed_carrier
381,387,6,21,6,27,internal_thalion_copy
381,390,6,21,6,30,internal_thalion_copy
381,393,6,21,6,33,internal_thalion_copy
381,741,6,21,12,21,external_signed_carrier
381,801,6,21,13,21,external_signed_carrier
382,386,6,22,6,26,internal_thalion_copy
382,388,6,22,6,28,internal_thalion_copy
382,394,6,22,6,34,internal_thalion_copy
382,742,6,22,12,22,external_signed_carrier
382,802,6,22,13,22,external_signed_carrier
383,387,6,23,6,27,internal_thalion_copy
383,743,6,23,12,23,external_signed_carrier
383,803,6,23,13,23,external_signed_carrier
384,744,6,24,12,24,external_signed_carrier
384,804,6,24,13,24,external_signed_carrier
385,396,6,25,6,36,internal_thalion_copy
385,745,6,25,12,25,external_signed_carrier
385,805,6,25,13,25,external_signed_carrier
386,746,6,26,12,26,external_signed_carrier
386,806,6,26,13,26,external_signed_carrier
387,393,6,27,6,33,internal_thalion_copy
387,747,6,27,12,27,external_signed_carrier
387,807,6,27,13,27,external_signed_carrier
388,392,6,28,6,32,internal_thalion_copy
388,394,6,28,6,34,internal_thalion_copy
388,396,6,28,6,36,internal_thalion_copy
388,748,6,28,12,28,external_signed_carrier
388,808,6,28,13,28,external_signed_carrier
389,393,6,29,6,33,internal_thalion_copy
389,395,6,29,6,35,internal_thalion_copy
389,397,6,29,6,37,internal_thalion_copy
389,749,6,29,12,29,external_signed_carrier
389,809,6,29,13,29,external_signed_carrier
390,404,6,30,6,44,internal_thalion_copy
390,750,6,30,12,30,external_signed_carrier
390,810,6,30,13,30,external_signed_carrier
391,397,6,31,6,37,internal_thalion_copy
391,400,6,31,6,40,internal_thalion_copy
391,403,6,31,6,43,internal_thalion_copy
391,751,6,31,12,31,external_signed_carrier
391,811,6,31,13,31,external_signed_carrier
392,396,6,32,6,36,internal_thalion_copy
392,398,6,32,6,38,internal_thalion_copy
392,404,6,32,6,44,internal_thalion_copy
392,752,6,32,12,32,external_signed_carrier
392,812,6,32,13,32,external_signed_carrier
393,397,6,33,6,37,internal_thalion_copy
393,753,6,33,12,33,external_signed_carrier
393,813,6,33,13,33,external_signed_carrier
394,754,6,34,12,34,external_signed_carrier
394,814,6,34,13,34,external_signed_carrier
395,406,6,35,6,46,internal_thalion_copy
395,755,6,35,12,35,external_signed_carrier
395,815,6,35,13,35,external_signed_carrier
396,756,6,36,12,36,external_signed_carrier
396,816,6,36,13,36,external_signed_carrier
397,403,6,37,6,43,internal_thalion_copy
397,757,6,37,12,37,external_signed_carrier
397,817,6,37,13,37,external_signed_carrier
398,402,6,38,6,42,internal_thalion_copy
398,404,6,38,6,44,internal_thalion_copy
398,406,6,38,6,46,internal_thalion_copy
398,758,6,38,12,38,external_signed_carrier
398,818,6,38,13,38,external_signed_carrier
399,403,6,39,6,43,internal_thalion_copy
399,405,6,39,6,45,internal_thalion_copy
399,407,6,39,6,47,internal_thalion_copy
399,759,6,39,12,39,external_signed_carrier
399,819,6,39,13,39,external_signed_carrier
400,414,6,40,6,54,internal_thalion_copy
400,760,6,40,12,40,external_signed_carrier
400,820,6,40,13,40,external_signed_carrier
401,407,6,41,6,47,internal_thalion_copy
401,410,6,41,6,50,internal_thalion_copy
401,413,6,41,6,53,internal_thalion_copy
401,761,6,41,12,41,external_signed_carrier
401,821,6,41,13,41,external_signed_carrier
402,406,6,42,6,46,internal_thalion_copy
402,408,6,42,6,48,internal_thalion_copy
402,414,6,42,6,54,internal_thalion_copy
402,762,6,42,12,42,external_signed_carrier
402,822,6,42,13,42,external_signed_carrier
403,407,6,43,6,47,internal_thalion_copy
403,763,6,43,12,43,external_signed_carrier
403,823,6,43,13,43,external_signed_carrier
404,764,6,44,12,44,external_signed_carrier
404,824,6,44,13,44,external_signed_carrier
405,416,6,45,6,56,internal_thalion_copy
405,765,6,45,12,45,external_signed_carrier
405,825,6,45,13,45,external_signed_carrier
406,766,6,46,12,46,external_signed_carrier
406,826,6,46,13,46,external_signed_carrier
407,413,6,47,6,53,internal_thalion_copy
407,767,6,47,12,47,external_signed_carrier
407,827,6,47,13,47,external_signed_carrier
408,412,6,48,6,52,internal_thalion_copy
408,414,6,48,6,54,internal_thalion_copy
408,416,6,48,6,56,internal_thalion_copy
408,768,6,48,12,48,external_signed_carrier
408,828,6,48,13,48,external_signed_carrier
409,413,6,49,6,53,internal_thalion_copy
409,415,6,49,6,55,internal_thalion_copy
409,417,6,49,6,57,internal_thalion_copy
409,769,6,49,12,49,external_signed_carrier
409,829,6,49,13,49,external_signed_carrier
410,770,6,50,12,50,external_signed_carrier
410,830,6,50,13,50,external_signed_carrier
411,417,6,51,6,57,internal_thalion_copy
411,771,6,51,12,51,external_signed_carrier
411,831,6,51,13,51,external_signed_carrier
412,416,6,52,6,56,internal_thalion_copy
412,418,6,52,6,58,internal_thalion_copy
412,772,6,52,12,52,external_signed_carrier
412,832,6,52,13,52,external_signed_carrier
413,417,6,53,6,57,internal_thalion_copy
413,773,6,53,12,53,external_signed_carrier
413,833,6,53,13,53,external_signed_carrier
414,774,6,54,12,54,external_signed_carrier
414,834,6,54,13,54,external_signed_carrier
415,775,6,55,12,55,external_signed_carrier
415,835,6,55,13,55,external_signed_carrier
416,776,6,56,12,56,external_signed_carrier
416,836,6,56,13,56,external_signed_carrier
417,777,6,57,12,57,external_signed_carrier
417,837,6,57,13,57,external_signed_carrier
418,778,6,58,12,58,external_signed_carrier
418,838,6,58,13,58,external_signed_carrier
419,779,6,59,12,59,external_signed_carrier
419,839,6,59,13,59,external_signed_carrier
420,436,7,0,7,16,internal_thalion_copy
420,439,7,0,7,19,internal_thalion_copy
420,445,7,0,7,25,internal_thalion_copy
420,475,7,0,7,55,internal_thalion_copy
420,600,7,0,10,0,external_signed_carrier
420,660,7,0,11,0,external_signed_carrier
421,435,7,1,7,15,internal_thalion_copy
421,446,7,1,7,26,internal_thalion_copy
421,449,7,1,7,29,internal_thalion_copy
421,455,7,1,7,35,internal_thalion_copy
421,601,7,1,10,1,external_signed_carrier
421,661,7,1,11,1,external_signed_carrier
422,445,7,2,7,25,internal_thalion_copy
422,456,7,2,7,36,internal_thalion_copy
422,459,7,2,7,39,internal_thalion_copy
422,465,7,2,7,45,internal_thalion_copy
422,602,7,2,10,2,external_signed_carrier
422,662,7,2,11,2,external_signed_carrier
423,455,7,3,7,35,internal_thalion_copy
423,466,7,3,7,46,internal_thalion_copy
423,469,7,3,7,49,internal_thalion_copy
423,475,7,3,7,55,internal_thalion_copy
423,603,7,3,10,3,external_signed_carrier
423,663,7,3,11,3,external_signed_carrier
424,435,7,4,7,15,internal_thalion_copy
424,465,7,4,7,45,internal_thalion_copy
424,476,7,4,7,56,internal_thalion_copy
424,479,7,4,7,59,internal_thalion_copy
424,604,7,4,10,4,external_signed_carrier
424,664,7,4,11,4,external_signed_carrier
425,431,7,5,7,11,internal_thalion_copy
425,434,7,5,7,14,internal_thalion_copy
425,440,7,5,7,20,internal_thalion_copy
425,470,7,5,7,50,internal_thalion_copy
425,605,7,5,10,5,external_signed_carrier
425,665,7,5,11,5,external_signed_carrier
426,430,7,6,7,10,internal_thalion_copy
426,441,7,6,7,21,internal_thalion_copy
426,444,7,6,7,24,internal_thalion_copy
426,450,7,6,7,30,internal_thalion_copy
426,606,7,6,10,6,external_signed_carrier
426,666,7,6,11,6,external_signed_carrier
427,440,7,7,7,20,internal_thalion_copy
427,451,7,7,7,31,internal_thalion_copy
427,454,7,7,7,34,internal_thalion_copy
427,460,7,7,7,40,internal_thalion_copy
427,607,7,7,10,7,external_signed_carrier
427,667,7,7,11,7,external_signed_carrier
428,450,7,8,7,30,internal_thalion_copy
428,461,7,8,7,41,internal_thalion_copy
428,464,7,8,7,44,internal_thalion_copy
428,470,7,8,7,50,internal_thalion_copy
428,608,7,8,10,8,external_signed_carrier
428,668,7,8,11,8,external_signed_carrier
429,430,7,9,7,10,internal_thalion_copy
429,460,7,9,7,40,internal_thalion_copy
429,471,7,9,7,51,internal_thalion_copy
429,474,7,9,7,54,internal_thalion_copy
429,609,7,9,10,9,external_signed_carrier
429,669,7,9,11,9,external_signed_carrier
430,444,7,10,7,24,internal_thalion_copy
430,471,7,10,7,51,internal_thalion_copy
430,610,7,10,10,10,external_signed_carrier
430,670,7,10,11,10,external_signed_carrier
431,437,7,11,7,17,internal_thalion_copy
431,440,7,11,7,20,internal_thalion_copy
431,443,7,11,7,23,internal_thalion_copy
431,611,7,11,10,11,external_signed_carrier
431,671,7,11,11,11,external_signed_carrier
432,436,7,12,7,16,internal_thalion_copy
432,438,7,12,7,18,internal_thalion_copy
432,444,7,12,7,24,internal_thalion_copy
432,478,7,12,7,58,internal_thalion_copy
432,612,7,12,10,12,external_signed_carrier
432,672,7,12,11,12,external_signed_carrier
433,437,7,13,7,17,internal_thalion_copy
433,471,7,13,7,51,internal_thalion_copy
433,477,7,13,7,57,internal_thalion_copy
433,479,7,13,7,59,internal_thalion_copy
433,613,7,13,10,13,external_signed_carrier
433,673,7,13,11,13,external_signed_carrier
434,470,7,14,7,50,internal_thalion_copy
434,472,7,14,7,52,internal_thalion_copy
434,478,7,14,7,58,internal_thalion_copy
434,614,7,14,10,14,external_signed_carrier
434,674,7,14,11,14,external_signed_carrier
435,446,7,15,7,26,internal_thalion_copy
435,479,7,15,7,59,internal_thalion_copy
435,615,7,15,10,15,external_signed_carrier
435,675,7,15,11,15,external_signed_carrier
436,475,7,16,7,55,internal_thalion_copy
436,478,7,16,7,58,internal_thalion_copy
436,616,7,16,10,16,external_signed_carrier
436,676,7,16,11,16,external_signed_carrier
437,443,7,17,7,23,internal_thalion_copy
437,479,7,17,7,59,internal_thalion_copy
437,617,7,17,10,17,external_signed_carrier
437,677,7,17,11,17,external_signed_carrier
438,442,7,18,7,22,internal_thalion_copy
438,444,7,18,7,24,internal_thalion_copy
438,446,7,18,7,26,internal_thalion_copy
438,618,7,18,10,18,external_signed_carrier
438,678,7,18,11,18,external_signed_carrier
439,443,7,19,7,23,internal_thalion_copy
439,445,7,19,7,25,internal_thalion_copy
439,447,7,19,7,27,internal_thalion_copy
439,619,7,19,10,19,external_signed_carrier
439,679,7,19,11,19,external_signed_carrier
440,454,7,20,7,34,internal_thalion_copy
440,620,7,20,10,20,external_signed_carrier
440,680,7,20,11,20,external_signed_carrier
441,447,7,21,7,27,internal_thalion_copy
441,450,7,21,7,30,internal_thalion_copy
441,453,7,21,7,33,internal_thalion_copy
441,621,7,21,10,21,external_signed_carrier
441,681,7,21,11,21,external_signed_carrier
442,446,7,22,7,26,internal_thalion_copy
442,448,7,22,7,28,internal_thalion_copy
442,454,7,22,7,34,internal_thalion_copy
442,622,7,22,10,22,external_signed_carrier
442,682,7,22,11,22,external_signed_carrier
443,447,7,23,7,27,internal_thalion_copy
443,623,7,23,10,23,external_signed_carrier
443,683,7,23,11,23,external_signed_carrier
444,624,7,24,10,24,external_signed_carrier
444,684,7,24,11,24,external_signed_carrier
445,456,7,25,7,36,internal_thalion_copy
445,625,7,25,10,25,external_signed_carrier
445,685,7,25,11,25,external_signed_carrier
446,626,7,26,10,26,external_signed_carrier
446,686,7,26,11,26,external_signed_carrier
447,453,7,27,7,33,internal_thalion_copy
447,627,7,27,10,27,external_signed_carrier
447,687,7,27,11,27,external_signed_carrier
448,452,7,28,7,32,internal_thalion_copy
448,454,7,28,7,34,internal_thalion_copy
448,456,7,28,7,36,internal_thalion_copy
448,628,7,28,10,28,external_signed_carrier
448,688,7,28,11,28,external_signed_carrier
449,453,7,29,7,33,internal_thalion_copy
449,455,7,29,7,35,internal_thalion_copy
449,457,7,29,7,37,internal_thalion_copy
449,629,7,29,10,29,external_signed_carrier
449,689,7,29,11,29,external_signed_carrier
450,464,7,30,7,44,internal_thalion_copy
450,630,7,30,10,30,external_signed_carrier
450,690,7,30,11,30,external_signed_carrier
451,457,7,31,7,37,internal_thalion_copy
451,460,7,31,7,40,internal_thalion_copy
451,463,7,31,7,43,internal_thalion_copy
451,631,7,31,10,31,external_signed_carrier
451,691,7,31,11,31,external_signed_carrier
452,456,7,32,7,36,internal_thalion_copy
452,458,7,32,7,38,internal_thalion_copy
452,464,7,32,7,44,internal_thalion_copy
452,632,7,32,10,32,external_signed_carrier
452,692,7,32,11,32,external_signed_carrier
453,457,7,33,7,37,internal_thalion_copy
453,633,7,33,10,33,external_signed_carrier
453,693,7,33,11,33,external_signed_carrier
454,634,7,34,10,34,external_signed_carrier
454,694,7,34,11,34,external_signed_carrier
455,466,7,35,7,46,internal_thalion_copy
455,635,7,35,10,35,external_signed_carrier
455,695,7,35,11,35,external_signed_carrier
456,636,7,36,10,36,external_signed_carrier
456,696,7,36,11,36,external_signed_carrier
457,463,7,37,7,43,internal_thalion_copy
457,637,7,37,10,37,external_signed_carrier
457,697,7,37,11,37,external_signed_carrier
458,462,7,38,7,42,internal_thalion_copy
458,464,7,38,7,44,internal_thalion_copy
458,466,7,38,7,46,internal_thalion_copy
458,638,7,38,10,38,external_signed_carrier
458,698,7,38,11,38,external_signed_carrier
459,463,7,39,7,43,internal_thalion_copy
459,465,7,39,7,45,internal_thalion_copy
459,467,7,39,7,47,internal_thalion_copy
459,639,7,39,10,39,external_signed_carrier
459,699,7,39,11,39,external_signed_carrier
460,474,7,40,7,54,internal_thalion_copy
460,640,7,40,10,40,external_signed_carrier
460,700,7,40,11,40,external_signed_carrier
461,467,7,41,7,47,internal_thalion_copy
461,470,7,41,7,50,internal_thalion_copy
461,473,7,41,7,53,internal_thalion_copy
461,641,7,41,10,41,external_signed_carrier
461,701,7,41,11,41,external_signed_carrier
462,466,7,42,7,46,internal_thalion_copy
462,468,7,42,7,48,internal_thalion_copy
462,474,7,42,7,54,internal_thalion_copy
462,642,7,42,10,42,external_signed_carrier
462,702,7,42,11,42,external_signed_carrier
463,467,7,43,7,47,internal_thalion_copy
463,643,7,43,10,43,external_signed_carrier
463,703,7,43,11,43,external_signed_carrier
464,644,7,44,10,44,external_signed_carrier
464,704,7,44,11,44,external_signed_carrier
465,476,7,45,7,56,internal_thalion_copy
465,645,7,45,10,45,external_signed_carrier
465,705,7,45,11,45,external_signed_carrier
466,646,7,46,10,46,external_signed_carrier
466,706,7,46,11,46,external_signed_carrier
467,473,7,47,7,53,internal_thalion_copy
467,647,7,47,10,47,external_signed_carrier
467,707,7,47,11,47,external_signed_carrier
468,472,7,48,7,52,internal_thalion_copy
468,474,7,48,7,54,internal_thalion_copy
468,476,7,48,7,56,internal_thalion_copy
468,648,7,48,10,48,external_signed_carrier
468,708,7,48,11,48,external_signed_carrier
469,473,7,49,7,53,internal_thalion_copy
469,475,7,49,7,55,internal_thalion_copy
469,477,7,49,7,57,internal_thalion_copy
469,649,7,49,10,49,external_signed_carrier
469,709,7,49,11,49,external_signed_carrier
470,650,7,50,10,50,external_signed_carrier
470,710,7,50,11,50,external_signed_carrier
471,477,7,51,7,57,internal_thalion_copy
471,651,7,51,10,51,external_signed_carrier
471,711,7,51,11,51,external_signed_carrier
472,476,7,52,7,56,internal_thalion_copy
472,478,7,52,7,58,internal_thalion_copy
472,652,7,52,10,52,external_signed_carrier
472,712,7,52,11,52,external_signed_carrier
473,477,7,53,7,57,internal_thalion_copy
473,653,7,53,10,53,external_signed_carrier
473,713,7,53,11,53,external_signed_carrier
474,654,7,54,10,54,external_signed_carrier
474,714,7,54,11,54,external_signed_carrier
475,655,7,55,10,55,external_signed_carrier
475,715,7,55,11,55,external_signed_carrier
476,656,7,56,10,56,external_signed_carrier
476,716,7,56,11,56,external_signed_carrier
477,657,7,57,10,57,external_signed_carrier
477,717,7,57,11,57,external_signed_carrier
478,658,7,58,10,58,external_signed_carrier
478,718,7,58,11,58,external_signed_carrier
479,659,7,59,10,59,external_signed_carrier
479,719,7,59,11,59,external_signed_carrier
480,496,8,0,8,16,internal_thalion_copy
480,499,8,0,8,19,internal_thalion_copy
480,505,8,0,8,25,internal_thalion_copy
480,535,8,0,8,55,internal_thalion_copy
480,780,8,0,13,0,external_signed_carrier
480,840,8,0,14,0,external_signed_carrier
481,495,8,1,8,15,internal_thalion_copy
481,506,8,1,8,26,internal_thalion_copy
481,509,8,1,8,29,internal_thalion_copy
481,515,8,1,8,35,internal_thalion_copy
481,781,8,1,13,1,external_signed_carrier
481,841,8,1,14,1,external_signed_carrier
482,505,8,2,8,25,internal_thalion_copy
482,516,8,2,8,36,internal_thalion_copy
482,519,8,2,8,39,internal_thalion_copy
482,525,8,2,8,45,internal_thalion_copy
482,782,8,2,13,2,external_signed_carrier
482,842,8,2,14,2,external_signed_carrier
483,515,8,3,8,35,internal_thalion_copy
483,526,8,3,8,46,internal_thalion_copy
483,529,8,3,8,49,internal_thalion_copy
483,535,8,3,8,55,internal_thalion_copy
483,783,8,3,13,3,external_signed_carrier
483,843,8,3,14,3,external_signed_carrier
484,495,8,4,8,15,internal_thalion_copy
484,525,8,4,8,45,internal_thalion_copy
484,536,8,4,8,56,internal_thalion_copy
484,539,8,4,8,59,internal_thalion_copy
484,784,8,4,13,4,external_signed_carrier
484,844,8,4,14,4,external_signed_carrier
485,491,8,5,8,11,internal_thalion_copy
485,494,8,5,8,14,internal_thalion_copy
485,500,8,5,8,20,internal_thalion_copy
485,530,8,5,8,50,internal_thalion_copy
485,785,8,5,13,5,external_signed_carrier
485,845,8,5,14,5,external_signed_carrier
